FE,SIO2,AL2O3,P
58.33,1.95,2.2,0.07
57.53,2.45,2.62,0.08
57.05,2.94,3.37,0.12
56.43,2.95,2.91,0.09
57.7,2.89,2.43,0.08
59.23,2.2,1.7,0.08
58.64,3.42,2.54,0.08
58.13,3.4,2.52,0.08
59.59,2.91,1.85,0.07
60.66,2.17,1.13,0.07
60.29,2.4,1.26,0.08
60.35,3.16,1.13,0.08
60.05,2.54,1.37,0.09
59.43,1.97,1.43,0.07
59.04,2.13,1.67,0.13
59.47,2.02,1.84,0.12
59.45,2.42,2.16,0.13
60.48,1.77,1.58,0.11
60.37,2.05,1.98,0.11
58.13,3.35,2.72,0.08
58.74,3.51,2.62,0.07
58.38,2.47,1.64,0.09
59.41,2.57,1.56,0.09
59.28,2.51,1.21,0.08
59.86,2.18,1.16,0.08
59.99,2.2,1.3,0.07
60.73,2.14,1.3,0.06
58.95,3.49,1.38,0.06
60.49,2.17,1.09,0.06
59.26,2.86,1.6,0.08
58.84,3.14,1.59,0.07
59.42,2.94,1.56,0.08
59.69,2.89,1.48,0.08
57.87,3.44,1.7,0.11
58.55,3.88,1.78,0.07
59.47,3.34,1.96,0.09
58.54,3.93,1.84,0.07
59.66,3.22,1.9,0.11
60.17,3.45,1.32,0.08
61.55,3.26,1.63,0.07
61.12,3.87,1.69,0.08
60.72,5.16,2.03,0.07
59.61,2.62,1.7,0.08
61.26,1.94,0.99,0.06
61.45,1.91,1.01,0.05
61.73,1.79,0.98,0.06
60.46,2.36,1.21,0.06
60.91,2.26,1.12,0.05
60.55,2,1.07,0.05
60,2.18,1.13,0.06
60.4,1.81,0.95,0.09
61.33,1.35,0.7,0.05
61.2,1.66,0.84,0.05
60.39,1.66,1.18,0.04
61.1,1.52,0.89,0.05
61.5,1.62,0.95,0.05
60.78,2.11,1.32,0.06
60.2,2.23,1.28,0.06
60.23,2.54,1.48,0.07
58.77,3.02,2.22,0.07
59.71,2.89,1.81,0.07
60.66,2.17,1.62,0.06
59.82,2.64,1.91,0.06
58.91,2.73,2.02,0.06
59.64,2.4,2.22,0.07
59.34,2.29,1.88,0.06
59.15,2.42,2.1,0.05
59.35,2.62,1.78,0.05
58.39,2.86,1.79,0.09
58.64,3.07,1.99,0.08
59.17,2.42,1.51,0.08
59.42,2.47,1.22,0.07
59.55,2.45,1.1,0.06
59.21,2.6,1.22,0.07
59.47,2.57,1.3,0.06
59.67,2.94,1.16,0.05
60.49,2.19,1.09,0.05
60.05,2.4,1.28,0.06
59.48,2.4,1.44,0.07
60.75,1.94,1.07,0.07
60.66,2.11,1.19,0.05
59.53,2.24,1.26,0.05
59.46,2.45,1.37,0.06
59.12,2.96,1.47,0.07
59.85,2.37,1.27,0.06
60.18,2.15,1.14,0.06
59.84,2.53,1.45,0.07
59.14,3.04,1.65,0.08
59.54,2.66,1.44,0.06
59.92,2.9,1.43,0.06
59.38,2.83,1.29,0.05
59.65,3.26,1.58,0.06
60.47,2.66,1.39,0.06
61.45,2.41,1.3,0.06
60.48,2.6,1.52,0.06
60.7,2.66,1.47,0.07
60.35,2.96,1.66,0.06
61.33,2.57,1.61,0.09
59.94,3.15,2.03,0.1
60.93,2.48,1.59,0.06
59.29,3.38,1.85,0.07
60.19,2.8,1.42,0.06
60.41,2.48,1.18,0.07
61.03,2.26,1.24,0.06
60.79,2.41,1.27,0.06
61.16,2.22,1.09,0.06
61.91,1.78,0.95,0.05
61.2,2.06,1.24,0.05
61.2,2.24,1.13,0.05
59.85,4.02,1.28,0.05
60.08,2.9,1.33,0.05
63.27,1.61,0.76,0.05
62.36,1.68,0.98,0.05
61.47,2.57,1.14,0.05
60.01,2.74,1.6,0.08
62.31,1.64,1.16,0.07
61.95,1.78,1.14,0.06
62.59,1.51,0.98,0.06
61.4,1.96,1.37,0.06
61.37,1.64,1.06,0.05
61.3,1.93,1.2,0.04
61.23,1.86,1.21,0.04
60.76,2.23,1.57,0.04
61.91,1.68,1.09,0.03
61.15,1.96,1.37,0.04
61.78,1.95,1.62,0.03
61.52,1.69,1.54,0.03
60.89,1.91,1.47,0.03
60.8,1.98,1.56,0.03
61.62,1.75,1.27,0.02
60.05,2.43,2.06,0.03
61.56,4.92,1.62,0.05
61.7,4.42,1.44,0.08
59.91,2.3,1.38,0.08
60.43,2.06,1.2,0.06
59.24,2.22,1.46,0.05
61.28,1.85,0.91,0.04
59.95,2.61,1.15,0.04
59.46,2.37,1.84,0.04
59.59,2.23,1.7,0.03
59.46,2.42,1.89,0.05
58.84,2.22,1.92,0.03
58.55,2.58,1.55,0.03
59.31,2.27,1.24,0.04
60.54,2.26,0.96,0.05
61.44,2.06,1.15,0.04
